Data Retrieved At (VN),Flight Date,Direction,Scheduled Time,Estimated Time,Airport,Flight Number,Status
2026-04-09 23:39:16,2026-04-09,Departure,17:25,17:25,Phú Quốc (PQC),VJ717,27-34
2026-04-09 23:39:16,2026-04-09,Departure,17:25,17:25,TP. Hồ Chí Minh (SGN),VN135,3-16
2026-04-09 23:39:16,2026-04-09,Departure,17:55,17:55,TP. Hồ Chí Minh (SGN),VN137,3-16
2026-04-09 23:39:16,2026-04-09,Departure,18:00,18:00,Nha Trang (CXR),VN1941,3-16
2026-04-09 23:39:16,2026-04-09,Departure,18:05,18:15,Hà Nội (HAN),VN180,3-16
2026-04-09 23:39:16,2026-04-09,Departure,18:10,18:20,Hà Nội (HAN),VN178,3-16
2026-04-09 23:39:16,2026-04-09,Departure,18:15,18:30,Hà Nội (HAN),QH146,43-45
2026-04-09 23:39:16,2026-04-09,Departure,18:40,18:40,TP. Hồ Chí Minh (SGN),QH173,43-45
2026-04-09 23:39:16,2026-04-09,Departure,18:40,18:40,TP. Hồ Chí Minh (SGN),VN141,3-16
2026-04-09 23:39:16,2026-04-09,Departure,19:25,19:25,Hà Nội (HAN),VN188,3-16
2026-04-09 23:39:16,2026-04-09,Departure,19:35,19:35,Hà Nội (HAN),VJ520,27-34
2026-04-09 23:39:16,2026-04-09,Departure,20:25,20:25,Hà Nội (HAN),BL6070,17-20
2026-04-09 23:39:16,2026-04-09,Departure,20:35,20:35,TP. Hồ Chí Minh (SGN),VJ643,27-34
2026-04-09 23:39:16,2026-04-09,Departure,20:45,20:45,Hà Nội (HAN),VJ518,27-34
2026-04-09 23:39:16,2026-04-09,Departure,21:05,21:05,TP. Hồ Chí Minh (SGN),VN143,3-16
2026-04-09 23:39:16,2026-04-09,Departure,21:30,21:40,Hà Nội (HAN),VJ526,27-34
2026-04-09 23:39:16,2026-04-09,Departure,21:45,21:45,Hà Nội (HAN),9G942,35-39
2026-04-09 23:39:16,2026-04-09,Departure,21:50,21:50,TP. Hồ Chí Minh (SGN),VJ647,27-34
